id,stream_name,username,text,emote_id,timestamp
1,solcodes,naweyy4,pls tip me 7s9WBZAQoJnLc91HvJSYjSDesyLwQbJFkmxX3bSX8Gea,,2025-12-09 05:06:49.450272
2,solpengu247,Solpengu247,Daily FREE Solana! Claim now: https://solpengu.com/affiliate/solcodes,4610675,2025-12-09 05:06:57.217404
3,solpengu247,activechore7ngndm,@solpengu247 Would you like many vie​wers? Let's make you popular — https://nezhna​.com,,2025-12-09 05:06:57.412489
4,solpengu247,dethal,Jesus Christ is God who came to earth from heaven in the flesh. He died as a sinless sacrifice to atone for our sins in order to save us from eternal hell. He was buried then He resurrected and is now in heaven and coming back soon to judge. You can receive the free gift of eternally lasting salvation today YouTube com/watch?v=nqddXBJ22II Proof the Bible is from God: truthischrist com/seven,,2025-12-09 05:06:57.425405
5,solpump247,Titanic_Swimmer,yooo,,2025-12-09 05:07:19.673613
6,solpump247,ChadusLek,yoooo,,2025-12-09 05:07:19.678409
7,solpump247,@Kicklet,🚀 Solpump — https://solpump.com/a/SOLCODES,,2025-12-09 05:07:19.683523
8,solpump247,@Kicklet,🚀 Solpump — https://solpump.com/a/SOLCODES,,2025-12-09 05:07:19.80869
9,solpump247,burrito344,!solpump,,2025-12-09 05:07:19.841807
10,solpump247,cheerychumplvdxk,@solpump247 Would you like many vie​wers? Let's make you popular — https://nezhna​.com,,2025-12-09 05:07:19.850571
11,solpump247,dethal,Jesus Christ is God who came to earth from heaven in the flesh. He died as a sinless sacrifice to atone for our sins in order to save us from eternal hell. He was buried then He resurrected and is now in heaven and coming back soon to judge. You can receive the free gift of eternally lasting salvation today YouTube com/watch?v=nqddXBJ22II Proof the Bible is from God: truthischrist com/seven,,2025-12-09 05:07:19.860116
12,solpump247,Solpump247,Daily FREE Solana! Open your case now: https://solpump.io/a/SOLCODES,4579386,2025-12-09 05:07:19.870246
13,solpump247,attainablebombervsoriiyap,@solpump247 Would you like many vie​wers? Let's make you popular — https://nezhna​.com,,2025-12-09 05:07:19.873359
14,solpump247,ChadusLek,!solpump,,2025-12-09 05:07:19.88204
15,theprofxssor,JR_Synthetics,89918,,2025-12-09 05:08:14.489537
16,theprofxssor,JR_Synthetics,Ek in buy op 4195.43 float so 6usd profit,,2025-12-09 05:08:14.499182
17,theprofxssor,KeelinPalm04,Is dit buy or sell?,,2025-12-09 05:08:14.502548
18,theprofxssor,Neocrashx,prof check jou tradeview,,2025-12-09 05:08:14.505975
19,theprofxssor,KOBUS1,wie snork soo,,2025-12-09 05:08:14.512744
20,theprofxssor,LJstop,prof you awake??,,2025-12-09 05:08:14.51975
21,theprofxssor,JR_Synthetics,Ek in op by Wie het gebuy,,2025-12-09 05:08:14.515675
22,theprofxssor,LJstop,playing roulette there i hear,,2025-12-09 05:08:14.526606
23,theprofxssor,JR_Synthetics,As gold daai 5min resistance breek bo dan moet hy buys pomp,,2025-12-09 05:08:14.541649
24,theprofxssor,KOBUS1,my mt5 het ook al groen blok,,2025-12-09 05:08:14.540133
25,theprofxssor,Pietbal1992,everything on red,,2025-12-09 05:08:14.546517
26,theprofxssor,GregZAR,seems like news event at 5:30 for AUD is holding this price back,,2025-12-09 05:08:14.548887
27,theprofxssor,Neocrashx,nie 100 sure ma lyk soos n buy block,,2025-12-09 05:08:14.549696
28,theprofxssor,GregZAR,put a chip on 0 for me,1730759,2025-12-09 05:08:14.558255
29,theprofxssor,LJstop,where you comfirtable use trailing sl,,2025-12-09 05:08:14.551181
30,theprofxssor,johanandriespretorius01,mt 5 wys n buy en traiding view wys n sell,,2025-12-09 05:08:14.565106
31,theprofxssor,JR_Synthetics,Dankie kernels maar ek is nou eers uit ekt nou net daai hele buy impuls gevang Meer as genoeg vir my vir vandag,,2025-12-09 05:08:14.567001
32,theprofxssor,JeandreDiedericks,ek was in n sell nog heeltyd het weer lke profits gemaak julle moet lke slaap sien julle more,,2025-12-09 05:08:14.569473
33,theprofxssor,Tsebomlakeng,are we buying or selling?,,2025-12-09 05:08:14.572396
34,theprofxssor,Neocrashx,wys verkeurd,,2025-12-09 05:08:14.566349
35,theprofxssor,JR_Synthetics,Waars Mr flick,,2025-12-09 05:08:14.579534
36,theprofxssor,LJstop,move it as it goes,,2025-12-09 05:08:14.586674
37,theprofxssor,EduanNaude,BTC take profit targets ?,,2025-12-09 05:08:14.587739
38,theprofxssor,pietsparkie,is dit n buy prof,,2025-12-09 05:08:14.588078
39,eyesha,BotRix,✨🔮 Let's get Eyesha to the 2025 top! VOTE for her on https://djanetop.com/djanes/eyesha/#voteNow 💫🧚‍♀️,,2025-12-09 05:08:44.050029
40,eyesha,BotRix,Thank you for the follow @schuleretv,,2025-12-09 05:08:44.052756
41,eyesha,xLostakira,no diggity,,2025-12-09 05:08:44.05658
42,eyesha,sierrablacc,LFGGGGG,,2025-12-09 05:08:44.067474
43,eyesha,xLostakira,no diggity,,2025-12-09 05:08:44.071937
44,eyesha,sierrablacc,lets gooooooo,,2025-12-09 05:08:44.075205
45,eyesha,xLostakira,no diggity,,2025-12-09 05:08:44.076063
46,eyesha,BotRix,Thank you for the follow @schuleretv,,2025-12-09 05:08:44.079915
47,eyesha,sierrablacc,AMAZING HOWS YOUR NIGHT GOING?,,2025-12-09 05:08:44.086445
48,eyesha,BotRix,Go follow @sierrablacc's channel -> https://kick.com/sierrablacc,,2025-12-09 05:08:44.086778
49,eyesha,BotRix,Thank you for the follow @JustBikeraider25,,2025-12-09 05:08:44.08851
50,eyesha,BotRix,✨🔮 Let's get Eyesha to the 2025 top! VOTE for her on https://djanetop.com/djanes/eyesha/#voteNow 💫🧚‍♀️,,2025-12-09 05:08:44.093768
51,eyesha,sierrablacc,AMAZING HOWS YOUR NIGHT GOING?,,2025-12-09 05:08:44.095153
52,eyesha,BotRix,Thank you for the follow @JustBikeraider25,,2025-12-09 05:08:44.096471
53,eyesha,BotRix,Thank you for the follow @JustBikeraider25,,2025-12-09 05:08:44.099741
54,eyesha,EYESHA,!so @sierrablacc,,2025-12-09 05:08:44.102067
55,eyesha,BotRix,✨🔮 Let's get Eyesha to the 2025 top! VOTE for her on https://djanetop.com/djanes/eyesha/#voteNow 💫🧚‍♀️,,2025-12-09 05:08:44.102889
56,eyesha,sierrablacc,LFGGGGG,,2025-12-09 05:08:44.103637
57,eyesha,sierrablacc,lets gooooooo,,2025-12-09 05:08:44.107748
58,eyesha,sierrablacc,lets gooooooo,,2025-12-09 05:08:44.112619
59,eyesha,EYESHA,!so @sierrablacc,,2025-12-09 05:08:44.116819
60,eyesha,BotRix,Go follow @sierrablacc's channel -> https://kick.com/sierrablacc,,2025-12-09 05:08:44.118882
61,eyesha,BotRix,Go follow @sierrablacc's channel -> https://kick.com/sierrablacc,,2025-12-09 05:08:44.121443
62,eyesha,sierrablacc,AMAZING HOWS YOUR NIGHT GOING?,,2025-12-09 05:08:44.125974
63,eyesha,EYESHA,!so @sierrablacc,,2025-12-09 05:08:44.13122
64,eyesha,sierrablacc,LFGGGGG,,2025-12-09 05:08:44.141731
65,eyesha,BotRix,Thank you for the follow @schuleretv,,2025-12-09 05:08:44.141481
